"label","message"
"ham","Dear Priya, your Biology practical exam is on 8th Feb at 9 AM. Lab coat is mandatory. - Horizon Medical College"
"ham","Congratulations! You have been selected for the National Merit Scholarship 2024. Amount: Rs. 60,000/year. Contact scholarship@ugc.ac.in."
"ham","Your English proficiency test result: Band 6.5 equivalent. Certificate will be issued on Dec 10. - Language Centre, MAHE"
"ham","Congratulations, Priya! You have been selected as a student ambassador for the upcoming education fair. Details to follow."
"ham","Fee receipt for admission 2024-25 has been generated. Download from the admission portal using your application number. - Delhi University"
"ham","Dear student, the lab report for your last practical session is due on Thursday. Email it to labcoord@dtu.ac.in. - DTU"
"ham","Your OTP for logging into the Student Portal is 847291. Valid for 10 minutes. Do not share this code with anyone. - EduPortal"
"ham","Your hall ticket for the CBSE Class 12 board exam is now available for download on cbse.gov.in. Exam starts Feb 15."
"ham","Dear student, your application for the PM Scholarship Scheme has been approved. Amount will be credited to your bank account within 7 days."
"ham","Reminder: Guest lecture by Dr. Arjun Nair (Google DeepMind) tomorrow at 3 PM in the Main Auditorium. Attendance mandatory."
"ham","Dear Arun, your scholarship-adjusted fee of Rs. 8,500 for Semester 3 has been received. - VIT Vellore"
"ham","Congratulations, Sneha! You have secured admission to our BBA program. Reporting date: July 22. - Amity University"
"ham","Notice: Educational tour to ISRO Bangalore scheduled for Dec 22-23. Payment of Rs. 2,500 due by Dec 10. - Dept. of Aerospace"
"ham","Notice: All B.Tech final year students must submit their project synopsis by Dec 20 to the HOD. - Academic Office"
"ham","Webinar Invite: 'Preparing for UPSC 2025' by IAS topper Ravi Shankar. Dec 15, 6 PM. Register: bit.ly/upscwebinar2024"
"ham","Congratulations, Sneha! You have secured admission to our BBA program. Reporting date: July 22. - Amity University"
"ham","The prospectus for MBA admissions 2025 is now available. Download at admissions.iimk.ac.in or collect from campus."
"ham","Congratulations Meena! Your Tata Trust Scholarship for women in STEM has been approved. Award letter sent to your email."
"ham","Hi, this is a reminder that the sports try-outs for basketball are on Nov 18 at 4 PM on the main court. - Sports Secretary"
"ham","Your hostel fee for the academic year 2024-25 has been received. Amount: Rs. 72,000. Ref No: HST-30291. - BITS Pilani"
"ham","Notice: The college will remain closed on Nov 26 due to state elections. Regular schedule resumes Nov 27."
"ham","Reminder: Accounts assignment (Unit 3) submission closes today at 6 PM. Upload to the college portal now. - Bharati Vidyapeeth"
"ham","Dear candidate, your spot in the Executive MBA program (Weekend Batch) is confirmed. Induction: Sept 7. - MDI Gurgaon"
"ham","EXAM REMINDER: English Literature Paper - 14 Dec, 11 AM, Auditorium Hall. Bring blue/black pen only. - St. Xavier's College"
"ham","Dear Priya, your Biology practical exam is on 8th Feb at 9 AM. Lab coat is mandatory. - Horizon Medical College"
"ham","Hi Rahul, your make-up exam for Thermodynamics is on Dec 29 at 11 AM. Contact the exam office for your hall pass."
"ham","Congratulations, Priya! You have been selected as a student ambassador for the upcoming education fair. Details to follow."
"ham","OTP: 204839 for verifying your mobile number on the AICTE portal. Valid for 5 minutes. Do not share."
"ham","Your MBA batch timetable for November has been updated. Download the new schedule from the portal. - SIBM Pune"
"ham","Reminder: Your Math final exam is scheduled for Monday, Dec 18 at 9:00 AM in Hall B. Please bring your student ID. - Springfield University"
"ham","Hi Rahul, your make-up exam for Thermodynamics is on Dec 29 at 11 AM. Contact the exam office for your hall pass."
"ham","This is a reminder that your term paper on Environmental Science is due tomorrow at 5 PM. Late submissions will not be accepted. - Green Valley College"
"ham","Fee payment confirmed. Amount: Rs. 18,500. Academic year 2024-25, Semester 1. Contact accounts@hpuniv.edu for receipt. - HP University"
"ham","Thank you for paying your bus pass fee. Your pass (Route 14) is valid from Dec 1 to May 31. - GLA University"
"ham","Reminder: Your Math final exam is scheduled for Monday, Dec 18 at 9:00 AM in Hall B. Please bring your student ID. - Springfield University"
"ham","Reminder: Guest lecture by Dr. Arjun Nair (Google DeepMind) tomorrow at 3 PM in the Main Auditorium. Attendance mandatory."
"ham","Your hall ticket for the CBSE Class 12 board exam is now available for download on cbse.gov.in. Exam starts Feb 15."
"ham","Your mentor meeting is scheduled for Dec 5 at 11 AM with Dr. Priya Menon. Please come prepared with your academic progress report."
"ham","Wipro Science Scholarship 2024: You have been selected! Formal letter will be couriered to your address within 5 working days."
"ham","Dear student, please complete your feedback form for faculty by Nov 25. Your responses help us improve. - IQAC, JNTU"
"ham","Notice: Prof. Sharma's Economics class (Tue 11 AM) is cancelled today. An extra class will be held Saturday at 10 AM."
"ham","Notice: Educational tour to ISRO Bangalore scheduled for Dec 22-23. Payment of Rs. 2,500 due by Dec 10. - Dept. of Aerospace"
"ham","Exam alert: Physics Paper II on 22nd Jan at 8:00 AM. Report 30 mins early. Venue: Exam Block C. - DLF Institute of Technology"
"ham","Confirmation: Rs. 5,000 library deposit received. Receipt available on the student portal under 'Payments'. - Jadavpur University"
"ham","Your semester exam timetable has been updated. Log in to the student portal to view your schedule. - Riverside University"
"ham","Your capstone project proposal is due next Monday. Submit a PDF to capstone@sunriseuniv.edu by 9 AM. - Sunrise University"
"ham","Reminder: Accounts assignment (Unit 3) submission closes today at 6 PM. Upload to the college portal now. - Bharati Vidyapeeth"
"ham","Reminder: Documents required for final year verification: marksheets, transfer certificate, character certificate. - Exam Cell"
"ham","Your English proficiency test result: Band 6.5 equivalent. Certificate will be issued on Dec 10. - Language Centre, MAHE"
"ham","Your NEET counselling document verification is on Nov 25 at the MCC office. Carry originals and 2 sets of photocopies."
"ham","Notice: Compulsory yoga and wellness session for all 1st year students on Nov 22, 7 AM, Sports Ground. - Dean Students"
"ham","Welcome to the family! Your admission to B.Pharm (Batch 2024-28) is confirmed. - JSS College of Pharmacy"
"ham","DEADLINE ALERT: Data Structures assignment due 10 Dec 11:59 PM. Submit on the student portal. No extensions. - Techno India University"
"ham","Congratulations! Your admission to B.Tech (CSE) at IIIT Hyderabad is confirmed. Report on July 15 with original documents."
"ham","Your project guide for the final year project is Prof. R. Subramaniam. First review is on Dec 10 at 2 PM."
"ham","Dear Rohan, your tutor Prof. Kapoor has reviewed your thesis outline. Please meet him on Nov 20 at 2 PM for feedback."
"ham","Your renewal application for the Central Sector Scholarship has been processed. Check NSP portal for status update."
"ham","Your participation in the inter-college debate competition has been confirmed. Event on Nov 29 at 10 AM. - Cultural Committee"
"ham","IIIT Bangalore invites you to an online session on 'Full Stack Development Careers' on Nov 28 at 4 PM. Free registration."
"ham","Reminder: Student Union election nominations open from Nov 20-22. Submit your nomination at the Student Affairs office."
"ham","Exam registration for December session is open. Last date: Nov 20. Log in to examreg.uohyd.ac.in. - UoH Exam Cell"
